12:51:07.569062
Input_Time,Input_Value,Output_Time,Output_Value
12:52:20.471386,95,12:52:23.826271,125.1
12:52:35.015875,95,12:52:38.370329,156.4
12:52:56.178717,95,12:52:59.533055,167.3
12:53:12.119563,96,12:53:15.474101,290.3
12:53:47.453838,96,12:53:50.808291,293.8
12:54:08.149828,96,12:54:11.504071,313.3
12:54:25.954199,97,12:54:29.312621,470.9
12:54:41.432159,97,12:54:44.786221,463.5
12:55:04.921215,98,12:55:08.280006,615.4
12:55:20.862169,98,12:55:24.220807,620.5
12:55:35.406065,99,12:55:38.764841,760.1
12:55:52.280998,98,12:55:55.635107,590.4
12:56:01.697081,99,12:56:05.051629,759.1
12:56:13.443618,99,12:56:16.798330,716.1
12:56:28.077806,99,12:56:31.436351,713.4
12:56:38.895041,99,12:56:42.249190,705.8
12:56:52.038419,100,12:56:55.392755,892.7
12:57:10.309491,100,12:57:13.664030,901.1
12:57:23.919582,100,12:57:27.274173,878.9
12:57:38.926868,101,12:57:42.285484,982.6
12:57:53.471005,101,12:57:56.829413,988.9
12:58:09.878819,102,12:58:13.237198,1095.3
12:58:23.022106,102,12:58:26.380613,1118.9
12:58:49.218729,103,12:58:52.576895,1333.7
12:59:06.556170,103,12:59:09.914757,1360.6
12:59:23.897539,104,12:59:27.252106,1450.7
12:59:44.032527,105,12:59:47.390829,1513.7
13:00:01.840853,105,13:00:05.195477,1512.7
13:00:15.914123,105,13:00:19.272374,1516.7
13:00:33.721419,105,13:00:37.075479,1518.1
13:00:50.128280,106,13:00:53.482791,1515.9
13:01:08.862513,106,13:01:12.221210,1531.3
13:22:20.888891
Input_Time,Input_Value,Output_Time,Output_Value
13:22:31.176530,95,13:22:34.530916,163.1
13:22:46.834593,95,13:22:50.189045,170.9
13:22:59.138345,95,13:23:02.492667,171.9
13:23:13.215191,95,13:23:16.569973,172.2
13:23:35.388767,95,13:23:39.965154,177.3
13:23:52.547410,95,13:23:55.905543,185.4
